time_start	p10	p50	p90	id_zona						
2024-07-18	9,135	11,097	16,080	1						
2024-07-26	4,649	5,632	9,361	1						
2024-07-28	8,072	9,936	12,800	1						
2024-08-10	8,184	9,303	13,114	1						
2024-08-12	7,573	9,488	13,521	1						
2024-08-27	9,670	11,299	14,438	1						
2024-06-28	3,441	4,569	6,415	2						
2024-07-08	5,870	7,135	9,873	2						
2024-07-18	6,313	8,239	11,808	2						
2024-07-26	4,389	5,621	8,581	2						
2024-07-28	8,307	9,759	13,213	2						
2024-08-10	8,286	9,240	13,281	2						
2024-08-12	7,593	8,474	11,436	2						
2024-08-15	12,590	15,441	22,609	2						
2024-08-27	9,230	11,241	19,767	2						
2024-07-08	6,271	7,749	15,816	3						
2024-07-13	9,382	10,887	20,623	3						
2024-07-18	8,588	10,377	18,442	3						
2024-07-26	4,236	5,737	12,697	3						
2024-07-28	8,790	10,726	19,731	3						
2024-08-10	7,750	9,247	17,185	3						
2024-08-12	7,614	8,462	17,616	3						
2024-08-27	9,758	11,228	21,689	3						
2024-07-18	9,556	11,487	21,570	6						
2024-07-08	4,627	5,454	9,429	7						
2024-07-13	7,639	9,475	13,429	7						
2024-07-18	6,218	11,771	21,934	7						
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
