time_start	p10	p50	p90	id_zona						
2024-03-05	17,035	30,998	88,875	1						
2024-03-08	7,084	12,965	39,002	1						
2024-04-17	2,591	4,458	7,459	1						
2024-04-24	4,541	6,477	10,465	1						
2024-05-24	3,749	4,739	11,249	1						
2024-07-01	3,814	4,691	6,813	1						
2024-03-08	7,124	14,976	36,947	2						
2024-03-25	5,225	10,93	44,989	2						
2024-04-17	2,261	4,471	6,427	2						
2024-04-24	3,586	5,48	9,444	2						
2024-05-24	3,637	4,87	8,295	2						
2024-07-08	5,146	6,386	8,91	2						
2024-03-05	10,477	17,816	74,083	3						
2024-03-10	9,994	13,774	29,872	3						
2024-04-17	3,3	4,904	6,767	3						
2024-04-24	3,594	5,478	9,464	3						
2024-05-24	3,71	6,489	23,581	3						
2024-07-01	4,853	6,379	11,449	3						
2024-07-03	3,668	4,609	9,392	3						
2024-07-06	4,147	5,36	10,555	3						
2024-04-04	6,375	11,051	18,774	4						
2024-07-03	5,629	8,075	17,415	4						
2024-03-05	6,56	9,819	25,823	6						
2024-03-25	5,868	19,468	59,81	6						
2024-05-19	2,889	4,864	9,353	6						
2024-07-03	4,294	5,224	7,697	6						
2024-03-05	5,149	6,956	12,878	7						
2024-04-04	3,626	5,499	9,462	7						
2024-05-19	3,678	4,517	7,444	7						
2024-07-03	2,785	3,746	5,215	7						
										
										
										
										
										
										
										
										
										
										
