time_start	p10	p50	p90	id_zona						
2024-11-20	2,708	3,465	5,339	3						
2024-11-30	2,247	3,227	13,270	6						
2024-12-05	2,600	4,427	17,536	6						
2024-12-10	5,500	20,513	91,201	2						
2024-12-10	6,576	8,547	25,571	3						
2024-12-10	3,520	6,468	29,395	6						
2024-12-10	1,815	2,237	3,718	7						
2024-12-20	2,693	3,188	4,323	7						
2024-12-23	2,462	9,516	37,472	2						
2025-01-02	3,129	22,684	211,100	1						
2025-01-04	7,559	18,463	90,733	6						
2025-01-04	3,643	4,613	7,339	7						
2025-01-09	3,516	9,466	58,498	6						
2025-01-09	2,835	3,741	5,235	7						
2025-01-14	5,918	9,798	77,956	6						
2025-01-14	2,607	3,498	7,457	7						
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
